split,model_name,feature_set,regime,threshold,transaction_cost,strategy_n_days,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe,strategy_max_drawdown,strategy_avg_daily_return,buy_hold_n_days,buy_hold_cumulative_return,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_avg_daily_return,exposure,trades,win_rate_when_in_market
test,XGB,dict,2022-2023 rate-hike cycle,0.55,0.0001,495,-0.07500727416746389,-0.03891604865671716,0.11130879960245942,-0.30089839918910727,-0.13461492232748062,-0.00013290730006365546,495,-0.011201777940844981,-0.005718491011084126,0.19509141264713542,0.06802850261695159,-0.2537811304380434,5.266578045956521e-05,0.296969696969697,193,0.4489795918367347
test,XGB,dict,Other,0.55,0.0001,42,0.03339390239340023,0.21785439517159233,0.07895757438335912,2.5354446649703752,-0.019991515776462965,0.0007944149235289263,42,0.08183299844185976,0.6031027010183538,0.11405115666100236,4.197402860154332,-0.01669666573997608,0.001899677187193655,0.30952380952380953,18,0.6923076923076923
test,XGB,finbert,2022-2023 rate-hike cycle,0.5,0.0001,495,-0.011300720058777691,-0.0057691421129395515,0.19509160409682502,0.06776748618223345,-0.25378113043804384,5.246376025754503e-05,495,-0.011201777940844981,-0.005718491011084126,0.19509141264713542,0.06802850261695159,-0.2537811304380434,5.266578045956521e-05,1.0,1,0.4868686868686869
test,XGB,finbert,Other,0.5,0.0001,42,0.08172394090287294,0.602133310840707,0.11410484540765062,4.19016957136812,-0.01669666573997597,0.001897296234812702,42,0.08183299844185976,0.6031027010183538,0.11405115666100236,4.197402860154332,-0.01669666573997608,0.001899677187193655,1.0,1,0.5952380952380952
test,XGB,general,2022-2023 rate-hike cycle,0.54,0.0001,495,-0.12426675429104972,-0.06532198784449694,0.16691579957514893,-0.3212915691530221,-0.23994662537647315,-0.00021281206016639256,495,-0.011201777940844981,-0.005718491011084126,0.19509141264713542,0.06802850261695159,-0.2537811304380434,5.266578045956521e-05,0.6787878787878788,238,0.45535714285714285
test,XGB,general,Other,0.54,0.0001,42,0.052617756983759145,0.36026696817932424,0.09874751851291756,3.1658408767353037,-0.016794996073401958,0.0012405513118427403,42,0.08183299844185976,0.6031027010183538,0.11405115666100236,4.197402860154332,-0.01669666573997608,0.001899677187193655,0.5952380952380952,26,0.72
test,XGB,vader,2022-2023 rate-hike cycle,0.54,0.0001,495,0.00289883155453019,0.0014747202456082409,0.18145369253730986,0.09873288263581745,-0.22344991334319153,7.109304019492824e-05,495,-0.011201777940844981,-0.005718491011084126,0.19509141264713542,0.06802850261695159,-0.2537811304380434,5.266578045956521e-05,0.896969696969697,85,0.49324324324324326
test,XGB,vader,Other,0.54,0.0001,42,0.0880417717204316,0.6591032489618533,0.11250109394386786,4.559515767341166,-0.01669666573997597,0.002035517903492838,42,0.08183299844185976,0.6031027010183538,0.11405115666100236,4.197402860154332,-0.01669666573997608,0.001899677187193655,0.9761904761904762,3,0.6097560975609756
val,Logit,all,2020 COVID shock,0.54,0.0001,249,0.24150548683841522,0.24474547058001495,0.33578165065602106,0.8207631177075873,-0.2992861714597279,0.0010936396605612528,249,0.13591785993830996,0.13766332637634981,0.34679551824024174,0.546345719425489,-0.33924959024260537,0.0007518660591527784,0.9477911646586346,25,0.5720338983050848
val,Logit,all,Other,0.54,0.0001,250,0.31169439474769667,0.3145445954705035,0.12748320551895284,2.2100058565090217,-0.0506172708030419,0.001118010439696147,250,0.2961398673206126,0.29883231102745444,0.1306346821987418,2.0676577617615566,-0.05212532648585422,0.0010718564071566775,0.928,33,0.5775862068965517
val,Logit,dict,2020 COVID shock,0.53,0.0001,249,0.09115354275244258,0.09230097999722586,0.3453066486591726,0.4293270975332297,-0.33924959024260526,0.0005882916715387669,249,0.13591785993830996,0.13766332637634981,0.34679551824024174,0.546345719425489,-0.33924959024260537,0.0007518660591527784,0.9879518072289156,7,0.5650406504065041
val,Logit,dict,Other,0.53,0.0001,250,0.31337630444744735,0.3162436530429009,0.12980264010592416,2.182775064591007,-0.05212532648585433,0.0011243252624654435,250,0.2961398673206126,0.29883231102745444,0.1306346821987418,2.0676577617615566,-0.05212532648585422,0.0010718564071566775,0.996,3,0.5742971887550201
val,Logit,finbert,2020 COVID shock,0.55,0.0001,249,0.09017887982246209,0.09131354216886178,0.2815897107244716,0.4516285441862044,-0.22658675371723724,0.0005046585361599505,249,0.13591785993830996,0.13766332637634981,0.34679551824024174,0.546345719425489,-0.33924959024260537,0.0007518660591527784,0.1927710843373494,44,0.5833333333333334
val,Logit,finbert,Other,0.55,0.0001,250,0.05553105653790369,0.05598751626611742,0.0540088346793234,1.0356190041048599,-0.06405414898458706,0.00022195466501374967,250,0.2961398673206126,0.29883231102745444,0.1306346821987418,2.0676577617615566,-0.05212532648585422,0.0010718564071566775,0.176,51,0.5681818181818182
