split,model_name,feature_set,threshold,transaction_cost,regime,strategy_n_days,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe,strategy_max_drawdown,strategy_avg_daily_return,buy_hold_n_days,buy_hold_cumulative_return,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_avg_daily_return,exposure,trades
val,Logit,dict,0.5,0.0001,Other,250,0.3058736438005376,0.30866463386000387,0.12949592927177597,2.1432549405067247,-0.05212532648585422,0.0011013602785208065,250,0.2961398673206126,0.29883231102745444,0.1303731510411312,2.0718055247300646,-0.05212532648585422,0.0010718564071566775,0.988,6
val,Logit,finbert,0.5,0.0001,2020 COVID shock,249,0.016726807414541467,0.016930031661051004,0.2684198909658273,0.19866623369096148,-0.344522053025365,0.00021161098724571206,249,0.13591785993830996,0.13766332637634981,0.3460984411168588,0.5474461147385703,-0.33924959024260537,0.0007518660591527784,0.9518072289156626,7
val,Logit,finbert,0.5,0.0001,Other,250,0.2974553425466482,0.30016106991729474,0.13032802944824065,2.0803321933630463,-0.04978160284508404,0.0010758952196775482,250,0.2961398673206126,0.29883231102745444,0.1303731510411312,2.0718055247300646,-0.05212532648585422,0.0010718564071566775,0.984,6
val,Logit,general,0.5,0.0001,2020 COVID shock,249,0.07133821102101323,0.0722280302588596,0.3409327420906423,0.3768762781810275,-0.3767520644770449,0.0005098788212268786,249,0.13591785993830996,0.13766332637634981,0.3460984411168588,0.5474461147385703,-0.33924959024260537,0.0007518660591527784,0.9959839357429718,3
val,Logit,general,0.5,0.0001,Other,250,0.2961398673206126,0.29883231102745444,0.1303731510411312,2.0718055247300646,-0.05212532648585422,0.0010718564071566775,250,0.2961398673206126,0.29883231102745444,0.1303731510411312,2.0718055247300646,-0.05212532648585422,0.0010718564071566775,1.0,0
val,Logit,vader,0.5,0.0001,2020 COVID shock,249,0.08923757135868704,0.09035990607973177,0.34526313453777424,0.4248576007803028,-0.33924959024260537,0.0005820939165778002,249,0.13591785993830996,0.13766332637634981,0.3460984411168588,0.5474461147385703,-0.33924959024260537,0.0007518660591527784,0.9879518072289156,7
val,Logit,vader,0.5,0.0001,Other,250,0.2961398673206126,0.29883231102745444,0.1303731510411312,2.0718055247300646,-0.05212532648585422,0.0010718564071566775,250,0.2961398673206126,0.29883231102745444,0.1303731510411312,2.0718055247300646,-0.05212532648585422,0.0010718564071566775,1.0,0
val,XGB,all,0.5,0.0001,2020 COVID shock,249,0.13931936068234085,0.14111116095513543,0.34001531300023835,0.5597972735226352,-0.3399706187426357,0.0007553160522757097,249,0.13591785993830996,0.13766332637634981,0.3460984411168588,0.5474461147385703,-0.33924959024260537,0.0007518660591527784,0.9317269076305221,29
val,XGB,all,0.5,0.0001,Other,250,0.22440348074883798,0.2263881683592437,0.12315620066749704,1.7193056807197253,-0.05460857367707739,0.0008402506167598654,250,0.2961398673206126,0.29883231102745444,0.1303731510411312,2.0718055247300646,-0.05212532648585422,0.0010718564071566775,0.852,60
val,XGB,dict,0.5,0.0001,2020 COVID shock,249,0.1217839011143873,0.123338177065905,0.34431167744236957,0.5116643572667441,-0.33924959024260526,0.0006990952902300973,249,0.13591785993830996,0.13766332637634981,0.3460984411168588,0.5474461147385703,-0.33924959024260537,0.0007518660591527784,0.9598393574297188,21
val,XGB,dict,0.5,0.0001,Other,250,0.22870514972508893,0.23073134019076247,0.1288553996719624,1.6763266768432945,-0.05093844535959613,0.0008571577139897431,250,0.2961398673206126,0.29883231102745444,0.1303731510411312,2.0718055247300646,-0.05212532648585422,0.0010718564071566775,0.964,16
val,XGB,finbert,0.5,0.0001,2020 COVID shock,249,0.13580346050711722,0.1375473708035031,0.34610073995035884,0.5471500642107388,-0.33924959024260526,0.0007514644527270753,249,0.13591785993830996,0.13766332637634981,0.3460984411168588,0.5474461147385703,-0.33924959024260537,0.0007518660591527784,1.0,1
val,XGB,finbert,0.5,0.0001,Other,250,0.2961398673206126,0.29883231102745444,0.1303731510411312,2.0718055247300646,-0.05212532648585422,0.0010718564071566775,250,0.2961398673206126,0.29883231102745444,0.1303731510411312,2.0718055247300646,-0.05212532648585422,0.0010718564071566775,1.0,0
val,XGB,general,0.5,0.0001,2020 COVID shock,249,0.14104281162280907,0.14285813539270853,0.34606036078417757,0.5606430171141134,-0.33924959024260526,0.0007699060506890471,249,0.13591785993830996,0.13766332637634981,0.3460984411168588,0.5474461147385703,-0.33924959024260537,0.0007518660591527784,0.9959839357429718,3
val,XGB,general,0.5,0.0001,Other,250,0.2891501385344195,0.29177218120851567,0.13030648448991614,2.030925797951345,-0.052125326485853996,0.0010501698452020534,250,0.2961398673206126,0.29883231102745444,0.1303731510411312,2.0718055247300646,-0.05212532648585422,0.0010718564071566775,0.996,2
val,XGB,vader,0.5,0.0001,2020 COVID shock,249,0.07558503152248086,0.07652968962902151,0.3413971674127949,0.38841317657967656,-0.347802890596803,0.0005262030090083622,249,0.13591785993830996,0.13766332637634981,0.3460984411168588,0.5474461147385703,-0.33924959024260537,0.0007518660591527784,0.9518072289156626,21
val,XGB,vader,0.5,0.0001,Other,250,0.2892300787206712,0.2918529248298656,0.127721188151307,2.0698991664125375,-0.052125326485853773,0.001049087225744481,250,0.2961398673206126,0.29883231102745444,0.1303731510411312,2.0718055247300646,-0.05212532648585422,0.0010718564071566775,0.956,22
